doc_type,doc_id,num,date_str,description,url_metadata,lang,decision_details_title,decision_details_body,chunk_id,chunk_index,language,md5,chunk_size_bytes,chunk_text,text,title,date,url,combined_text,dataset_source,authority_weight,priority
lk_cabinet_decisions,2010-09-27-001-en,1,2010-09-27,Construction of a Roof Cover for the Maligavila Buddha Statue,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=5161,en,Press briefing of Cabinet Decision taken on 2010-09-27,"- the proposal made by Hon.(Dr.) Jagath Balasuriya, Minister of National Heritage, to construct a permanent roof cover for the Maligavila Buddha Statue, located 15 km away from Buttala town, utilizing Rs.15 million provided by the Central Cultural Fund to the Ministry, was approved by the Cabinet.",2010-09-27-001-en-0000,0,en,991d140201b2f9d0a96394195676bd9d,417,"Construction of a Roof Cover for the Maligavila Buddha Statue

Press briefing of Cabinet Decision taken on 2010-09-27

- the proposal made by Hon.(Dr.) Jagath Balasuriya, Minister of National Heritage, to construct a permanent roof cover for the Maligavila Buddha Statue, located 15 km away from Buttala town, utilizing Rs.15 million provided by the Central Cultural Fund to the Ministry, was approved by the Cabinet.","Construction of a Roof Cover for the Maligavila Buddha Statue

Press briefing of Cabinet Decision taken on 2010-09-27

- the proposal made by Hon.(Dr.) Jagath Balasuriya, Minister of National Heritage, to construct a permanent roof cover for the Maligavila Buddha Statue, located 15 km away from Buttala town, utilizing Rs.15 million provided by the Central Cultural Fund to the Ministry, was approved by the Cabinet.","Construction of a Roof Cover for the Maligavila Buddha Statue

Press briefing of Cabinet Decision ta",2010-09-27,2010-09-27-001-en,"Construction of a Roof Cover for the Maligavila Buddha Statue

Press briefing of Cabinet Decision taken on 2010-09-27

- the proposal made by Hon.(Dr.) Jagath Balasuriya, Minister of National Heritage, to construct a permanent roof cover for the Maligavila Buddha Statue, located 15 km away from Buttala town, utilizing Rs.15 million provided by the Central Cultural Fund to the Ministry, was approved by the Cabinet.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-001-en,1,2010-12-08,Air  Services  negotiations between Sri Lanka and Ukraine,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3777,en,Press briefing of Cabinet Decision taken on 2010-12-08,"-The Aeronautical  Authorities  of  Sri Lanka and Ukraine have held discussions in October 2010 with the view to finalize and Air Services Agreement to facilitate operations between the two countries.  The following have been mainly agreed to by the authorities of both countries: 
 
*	designate one or more airlines for the purpose of  operating the agreed services on the specific routes.

*	each party to operate 7 frequencies per week for the IATA Winter Season 2010/2011.

*	consider further extensions up to 14 flights per week starting from IATA Summer Season 2011 between the two countries. 

	Cabinet approval was granted to sign the initialed Air Services Agreement and to take all necessary steps for its entry into force.",2010-12-08-001-en-0000,0,en,c60a10147e5fdfa68aa6e190d9d3d974,846,"Air  Services  negotiations between Sri Lanka and Ukraine

Press briefing of Cabinet Decision taken on 2010-12-08

-The Aeronautical  Authorities  of  Sri Lanka and Ukraine have held discussions in October 2010 with the view to finalize and Air Services Agreement to facilitate operations between the two countries.  The following have been mainly agreed to by the authorities of both countries: 
 
*	designate one or more airlines for the purpose of  operating the agreed services on the specific routes.

*	each party to operate 7 frequencies per week for the IATA Winter Season 2010/2011.

*	consider further extensions up to 14 flights per week starting from IATA Summer Season 2011 between the two countries.

Cabinet approval was granted to sign the initialed Air Services Agreement and to take all necessary steps for its entry into force.","Air  Services  negotiations between Sri Lanka and Ukraine

Press briefing of Cabinet Decision taken on 2010-12-08

-The Aeronautical  Authorities  of  Sri Lanka and Ukraine have held discussions in October 2010 with the view to finalize and Air Services Agreement to facilitate operations between the two countries.  The following have been mainly agreed to by the authorities of both countries: 
 
*	designate one or more airlines for the purpose of  operating the agreed services on the specific routes.

*	each party to operate 7 frequencies per week for the IATA Winter Season 2010/2011.

*	consider further extensions up to 14 flights per week starting from IATA Summer Season 2011 between the two countries.

Cabinet approval was granted to sign the initialed Air Services Agreement and to take all necessary steps for its entry into force.","Air  Services  negotiations between Sri Lanka and Ukraine

Press briefing of Cabinet Decision taken ",2010-12-08,2010-12-08-001-en,"Air  Services  negotiations between Sri Lanka and Ukraine

Press briefing of Cabinet Decision taken on 2010-12-08

-The Aeronautical  Authorities  of  Sri Lanka and Ukraine have held discussions in October 2010 with the view to finalize and Air Services Agreement to facilitate operations between the two countries.  The following have been mainly agreed to by the authorities of both countries: 
 
*	designate one or more airlines for the purpose of  operating the agreed services on the specific routes.

*	each party to operate 7 frequencies per week for the IATA Winter Season 2010/2011.

*	consider further extensions up to 14 flights per week starting from IATA Summer Season 2011 between the two countries.

Cabinet approval was granted to sign the initialed Air Services Agreement and to take all necessary steps for its entry into force.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-002-en,2,2010-12-08,Establishment of a National Centre for Hearing and Speech Impaired at Narahenpita,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3778,en,Press briefing of Cabinet Decision taken on 2010-12-08,"- The Dialog Axiata, PLC (formerly known as Dialog Telecom PLC) has expressed to the Government of Sri Lanka, the intent to gift a fully fledged centre for the hearing and speech impaired people of the coutnry.  Under  this project it is proposed to construct a three storied building on a block of land identified in Narahenpita belonging to the Ministry of Health.  A space at the ground floor of the building is to be allocated for the National Cancer Prevention and Early Detection Centre.  Cabinet approval was granted to implement the project with financial assistance of Rs.120 million to be provided by the company.  The Centre will be managed by the Ministry of Health.",2010-12-08-002-en-0000,0,en,c22d84e4d4f092b9ff31934ca05c2031,817,"Establishment of a National Centre for Hearing and Speech Impaired at Narahenpita

Press briefing of Cabinet Decision taken on 2010-12-08

- The Dialog Axiata, PLC (formerly known as Dialog Telecom PLC) has expressed to the Government of Sri Lanka, the intent to gift a fully fledged centre for the hearing and speech impaired people of the coutnry.  Under  this project it is proposed to construct a three storied building on a block of land identified in Narahenpita belonging to the Ministry of Health.  A space at the ground floor of the building is to be allocated for the National Cancer Prevention and Early Detection Centre.  Cabinet approval was granted to implement the project with financial assistance of Rs.120 million to be provided by the company.  The Centre will be managed by the Ministry of Health.","Establishment of a National Centre for Hearing and Speech Impaired at Narahenpita

Press briefing of Cabinet Decision taken on 2010-12-08

- The Dialog Axiata, PLC (formerly known as Dialog Telecom PLC) has expressed to the Government of Sri Lanka, the intent to gift a fully fledged centre for the hearing and speech impaired people of the coutnry.  Under  this project it is proposed to construct a three storied building on a block of land identified in Narahenpita belonging to the Ministry of Health.  A space at the ground floor of the building is to be allocated for the National Cancer Prevention and Early Detection Centre.  Cabinet approval was granted to implement the project with financial assistance of Rs.120 million to be provided by the company.  The Centre will be managed by the Ministry of Health.","Establishment of a National Centre for Hearing and Speech Impaired at Narahenpita

Press briefing of",2010-12-08,2010-12-08-002-en,"Establishment of a National Centre for Hearing and Speech Impaired at Narahenpita

Press briefing of Cabinet Decision taken on 2010-12-08

- The Dialog Axiata, PLC (formerly known as Dialog Telecom PLC) has expressed to the Government of Sri Lanka, the intent to gift a fully fledged centre for the hearing and speech impaired people of the coutnry.  Under  this project it is proposed to construct a three storied building on a block of land identified in Narahenpita belonging to the Ministry of Health.  A space at the ground floor of the building is to be allocated for the National Cancer Prevention and Early Detection Centre.  Cabinet approval was granted to implement the project with financial assistance of Rs.120 million to be provided by the company.  The Centre will be managed by the Ministry of Health.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-003-en,3,2010-12-08,Aircraft Refueling Facility at New Southern Airport at Maththala,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3779,en,Press briefing of Cabinet Decision taken on 2010-12-08,- Cabinet approval was granted to design the Aircraft hydrant refueling system in the proposed Airport at Maththala and to construct the facility at the expense of the Ceylon Petroleum Corporation.,2010-12-08-003-en-0000,0,en,a2cd1cf8367bd32c00b1c6982d30c46b,319,"Aircraft Refueling Facility at New Southern Airport at Maththala

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval was granted to design the Aircraft hydrant refueling system in the proposed Airport at Maththala and to construct the facility at the expense of the Ceylon Petroleum Corporation.","Aircraft Refueling Facility at New Southern Airport at Maththala

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval was granted to design the Aircraft hydrant refueling system in the proposed Airport at Maththala and to construct the facility at the expense of the Ceylon Petroleum Corporation.","Aircraft Refueling Facility at New Southern Airport at Maththala

Press briefing of Cabinet Decision",2010-12-08,2010-12-08-003-en,"Aircraft Refueling Facility at New Southern Airport at Maththala

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval was granted to design the Aircraft hydrant refueling system in the proposed Airport at Maththala and to construct the facility at the expense of the Ceylon Petroleum Corporation.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-004-en,4,2010-12-08,"Ninth Session of the Joint Commission for Economic Co-operation between Sri Lanka and Iran 13-15 September 2010, Colombo",https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3780,en,Press briefing of Cabinet Decision taken on 2010-12-08,"- the 9th Session was held in Colombo from 13th to 15th September 2010.  Iran is Sri Lanka's 6th largest trading partner recording a total value of two-way trade of nearly US $992 million in 2009.  With regard to the main export item of tea, Iran agreed to study the inclusion of preferential tariff quota on annual basis for tea exported from Sri Lanka and agreed that part of the quota could be used for packaging of Sri Lankan tea in Free Trade Zones in Iran by Sri Lankan companies or joint ventures formed with Iranian and Sri Lankan companies.  Covering approval of the Cabinet was granted for signing of the Memorandum of Understanding (MOU) of the 9th Session of the two countries.",2010-12-08-004-en-0000,0,en,8d1c515e627a73924babfe4624366f0d,867,"Ninth Session of the Joint Commission for Economic Co-operation between Sri Lanka and Iran 13-15 September 2010, Colombo

Press briefing of Cabinet Decision taken on 2010-12-08

- the 9th Session was held in Colombo from 13th to 15th September 2010.  Iran is Sri Lanka's 6th largest trading partner recording a total value of two-way trade of nearly US $992 million in 2009.  With regard to the main export item of tea, Iran agreed to study the inclusion of preferential tariff quota on annual basis for tea exported from Sri Lanka and agreed that part of the quota could be used for packaging of Sri Lankan tea in Free Trade Zones in Iran by Sri Lankan companies or joint ventures formed with Iranian and Sri Lankan companies.  Covering approval of the Cabinet was granted for signing of the Memorandum of Understanding (MOU) of the 9th Session of the two countries.","Ninth Session of the Joint Commission for Economic Co-operation between Sri Lanka and Iran 13-15 September 2010, Colombo

Press briefing of Cabinet Decision taken on 2010-12-08

- the 9th Session was held in Colombo from 13th to 15th September 2010.  Iran is Sri Lanka's 6th largest trading partner recording a total value of two-way trade of nearly US $992 million in 2009.  With regard to the main export item of tea, Iran agreed to study the inclusion of preferential tariff quota on annual basis for tea exported from Sri Lanka and agreed that part of the quota could be used for packaging of Sri Lankan tea in Free Trade Zones in Iran by Sri Lankan companies or joint ventures formed with Iranian and Sri Lankan companies.  Covering approval of the Cabinet was granted for signing of the Memorandum of Understanding (MOU) of the 9th Session of the two countries.",Ninth Session of the Joint Commission for Economic Co-operation between Sri Lanka and Iran 13-15 Sep,2010-12-08,2010-12-08-004-en,"Ninth Session of the Joint Commission for Economic Co-operation between Sri Lanka and Iran 13-15 September 2010, Colombo

Press briefing of Cabinet Decision taken on 2010-12-08

- the 9th Session was held in Colombo from 13th to 15th September 2010.  Iran is Sri Lanka's 6th largest trading partner recording a total value of two-way trade of nearly US $992 million in 2009.  With regard to the main export item of tea, Iran agreed to study the inclusion of preferential tariff quota on annual basis for tea exported from Sri Lanka and agreed that part of the quota could be used for packaging of Sri Lankan tea in Free Trade Zones in Iran by Sri Lankan companies or joint ventures formed with Iranian and Sri Lankan companies.  Covering approval of the Cabinet was granted for signing of the Memorandum of Understanding (MOU) of the 9th Session of the two countries.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-005-en,5,2010-12-08,Implementation of High Priority Power Sector Transmission Development Projects,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3781,en,Press briefing of Cabinet Decision taken on 2010-12-08,"? Ceylon Electricity Board (CEB) ? Cabinet approval was granted to invite detailed technical, commercial and credit facility proposals in respect of the following projects: 

 *	Construction of Colombo B 132/11 KV Grid Substation
 *	Augmentation of Colombo A 32/11 KV Grid Substation
*	Construction of Kappalthurei Trincomalee 132/33 KV Grid Substation
		*	Installation of 2nd 220/32/33 KV Inter-Bus Transformer 				at
*	Construction of Habarana-Veyangoda Transmission Project
*	Mannar Transmission Development Project",2010-12-08-005-en-0000,0,en,32ed363e94f2cefd2f7e9af2333cb04a,652,"Implementation of High Priority Power Sector Transmission Development Projects

Press briefing of Cabinet Decision taken on 2010-12-08

? Ceylon Electricity Board (CEB) ? Cabinet approval was granted to invite detailed technical, commercial and credit facility proposals in respect of the following projects:

*	Construction of Colombo B 132/11 KV Grid Substation
 *	Augmentation of Colombo A 32/11 KV Grid Substation
*	Construction of Kappalthurei Trincomalee 132/33 KV Grid Substation
		*	Installation of 2nd 220/32/33 KV Inter-Bus Transformer 				at
*	Construction of Habarana-Veyangoda Transmission Project
*	Mannar Transmission Development Project","Implementation of High Priority Power Sector Transmission Development Projects

Press briefing of Cabinet Decision taken on 2010-12-08

? Ceylon Electricity Board (CEB) ? Cabinet approval was granted to invite detailed technical, commercial and credit facility proposals in respect of the following projects:

*	Construction of Colombo B 132/11 KV Grid Substation
 *	Augmentation of Colombo A 32/11 KV Grid Substation
*	Construction of Kappalthurei Trincomalee 132/33 KV Grid Substation
		*	Installation of 2nd 220/32/33 KV Inter-Bus Transformer 				at
*	Construction of Habarana-Veyangoda Transmission Project
*	Mannar Transmission Development Project","Implementation of High Priority Power Sector Transmission Development Projects

Press briefing of Ca",2010-12-08,2010-12-08-005-en,"Implementation of High Priority Power Sector Transmission Development Projects

Press briefing of Cabinet Decision taken on 2010-12-08

? Ceylon Electricity Board (CEB) ? Cabinet approval was granted to invite detailed technical, commercial and credit facility proposals in respect of the following projects:

*	Construction of Colombo B 132/11 KV Grid Substation
 *	Augmentation of Colombo A 32/11 KV Grid Substation
*	Construction of Kappalthurei Trincomalee 132/33 KV Grid Substation
		*	Installation of 2nd 220/32/33 KV Inter-Bus Transformer 				at
*	Construction of Habarana-Veyangoda Transmission Project
*	Mannar Transmission Development Project",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-006-en,6,2010-12-08,"Donation of a new Bhabhatron ? II Telecobolt Unit by the Indian Government to Sri Lanka for the use of the General Hospital, Hambantota",https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3782,en,Press briefing of Cabinet Decision taken on 2010-12-08,"- Cabinet approval has already been granted to accept the above donation from India for the usage for Cancer Therapy at the General Hospital, Hambantota. This Unit is to be delivered by the Indian Authorities during the month of December.  Cabinet approval was granted to exempt this Unit from all taxes and duties.",2010-12-08-006-en-0000,0,en,a1274148a1965ce6742fb5fe266610bd,508,"Donation of a new Bhabhatron ? II Telecobolt Unit by the Indian Government to Sri Lanka for the use of the General Hospital, Hambantota

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval has already been granted to accept the above donation from India for the usage for Cancer Therapy at the General Hospital, Hambantota. This Unit is to be delivered by the Indian Authorities during the month of December.  Cabinet approval was granted to exempt this Unit from all taxes and duties.","Donation of a new Bhabhatron ? II Telecobolt Unit by the Indian Government to Sri Lanka for the use of the General Hospital, Hambantota

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval has already been granted to accept the above donation from India for the usage for Cancer Therapy at the General Hospital, Hambantota. This Unit is to be delivered by the Indian Authorities during the month of December.  Cabinet approval was granted to exempt this Unit from all taxes and duties.",Donation of a new Bhabhatron ? II Telecobolt Unit by the Indian Government to Sri Lanka for the use ,2010-12-08,2010-12-08-006-en,"Donation of a new Bhabhatron ? II Telecobolt Unit by the Indian Government to Sri Lanka for the use of the General Hospital, Hambantota

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval has already been granted to accept the above donation from India for the usage for Cancer Therapy at the General Hospital, Hambantota. This Unit is to be delivered by the Indian Authorities during the month of December.  Cabinet approval was granted to exempt this Unit from all taxes and duties.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-007-en,7,2010-12-08,Introduction of Natural Gas to meet energy needs of Sri Lanka,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3783,en,Press briefing of Cabinet Decision taken on 2010-12-08,"- Natural Gas is the fastest growing energy source in the world and the most flexible fuel that can be used directly for transport and power generation.  Natural gas is a raw material for the production of a variety of chemicals, plastics and Urea.  It has been identified that the Power Sector, Transport Sector, Fertilizer Subsidy Programme as well as domestic and industrial usages would benefit by the introduction of natural gas.  Some of the advantages are - 

	*	Liquid Natural Gas (LNG) is cheaper in price than any Liquid Petroleum Products and even LP Gas.

	*	LNG is a cleaner fuel when compared to coal, diesel, petrol and other fuel
		*	its high purity results in generating energy at a cheaper cos

	Cabinet approval was granted to appoint a High Powered Steering Committee to implement the above policy and to authorize the Ministry of Petroleum Industries to explore possibility of arranging LNG on long-term supply arrangement on Government to Government basis.",2010-12-08-007-en-0000,0,en,619c89504b77eb27e14fc443ae31a8e5,1093,"Introduction of Natural Gas to meet energy needs of Sri Lanka

Press briefing of Cabinet Decision taken on 2010-12-08

- Natural Gas is the fastest growing energy source in the world and the most flexible fuel that can be used directly for transport and power generation.  Natural gas is a raw material for the production of a variety of chemicals, plastics and Urea.  It has been identified that the Power Sector, Transport Sector, Fertilizer Subsidy Programme as well as domestic and industrial usages would benefit by the introduction of natural gas.  Some of the advantages are -

*	Liquid Natural Gas (LNG) is cheaper in price than any Liquid Petroleum Products and even LP Gas.

*	LNG is a cleaner fuel when compared to coal, diesel, petrol and other fuel
		*	its high purity results in generating energy at a cheaper cos

Cabinet approval was granted to appoint a High Powered Steering Committee to implement the above policy and to authorize the Ministry of Petroleum Industries to explore possibility of arranging LNG on long-term supply arrangement on Government to Government basis.","Introduction of Natural Gas to meet energy needs of Sri Lanka

Press briefing of Cabinet Decision taken on 2010-12-08

- Natural Gas is the fastest growing energy source in the world and the most flexible fuel that can be used directly for transport and power generation.  Natural gas is a raw material for the production of a variety of chemicals, plastics and Urea.  It has been identified that the Power Sector, Transport Sector, Fertilizer Subsidy Programme as well as domestic and industrial usages would benefit by the introduction of natural gas.  Some of the advantages are -

*	Liquid Natural Gas (LNG) is cheaper in price than any Liquid Petroleum Products and even LP Gas.

*	LNG is a cleaner fuel when compared to coal, diesel, petrol and other fuel
		*	its high purity results in generating energy at a cheaper cos

Cabinet approval was granted to appoint a High Powered Steering Committee to implement the above policy and to authorize the Ministry of Petroleum Industries to explore possibility of arranging LNG on long-term supply arrangement on Government to Government basis.","Introduction of Natural Gas to meet energy needs of Sri Lanka

Press briefing of Cabinet Decision ta",2010-12-08,2010-12-08-007-en,"Introduction of Natural Gas to meet energy needs of Sri Lanka

Press briefing of Cabinet Decision taken on 2010-12-08

- Natural Gas is the fastest growing energy source in the world and the most flexible fuel that can be used directly for transport and power generation.  Natural gas is a raw material for the production of a variety of chemicals, plastics and Urea.  It has been identified that the Power Sector, Transport Sector, Fertilizer Subsidy Programme as well as domestic and industrial usages would benefit by the introduction of natural gas.  Some of the advantages are -

*	Liquid Natural Gas (LNG) is cheaper in price than any Liquid Petroleum Products and even LP Gas.

*	LNG is a cleaner fuel when compared to coal, diesel, petrol and other fuel
		*	its high purity results in generating energy at a cheaper cos

Cabinet approval was granted to appoint a High Powered Steering Committee to implement the above policy and to authorize the Ministry of Petroleum Industries to explore possibility of arranging LNG on long-term supply arrangement on Government to Government basis.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-008-en,8,2010-12-08,National Policy on HIV/AIDS and the World of Work,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3784,en,Press briefing of Cabinet Decision taken on 2010-12-08,"- Of the total population of Sri Lanka, approximately 8.5 million are in the labour force and around 100,000 young men and women work in the Free Trade Zone, Katunayake and about 180,000 persons migrate annually to the Middle East countries for employment.  Persons subjected to HIV Infection are in the age group of 14-19 years.  Sri Lanka is classified as a low HIV prevalence country in the South Asian Region.   Cabinet approval was granted for the national policy on HIV/AIDS prepared to meet the requirements of implementing specially the Prevention and Awareness Programmes by the relevant government agencies and the International Labour Organization.",2010-12-08-008-en-0000,0,en,ebb3e80bcbdd58d51cc804c0316a78c4,766,"National Policy on HIV/AIDS and the World of Work

Press briefing of Cabinet Decision taken on 2010-12-08

- Of the total population of Sri Lanka, approximately 8.5 million are in the labour force and around 100,000 young men and women work in the Free Trade Zone, Katunayake and about 180,000 persons migrate annually to the Middle East countries for employment.  Persons subjected to HIV Infection are in the age group of 14-19 years.  Sri Lanka is classified as a low HIV prevalence country in the South Asian Region.   Cabinet approval was granted for the national policy on HIV/AIDS prepared to meet the requirements of implementing specially the Prevention and Awareness Programmes by the relevant government agencies and the International Labour Organization.","National Policy on HIV/AIDS and the World of Work

Press briefing of Cabinet Decision taken on 2010-12-08

- Of the total population of Sri Lanka, approximately 8.5 million are in the labour force and around 100,000 young men and women work in the Free Trade Zone, Katunayake and about 180,000 persons migrate annually to the Middle East countries for employment.  Persons subjected to HIV Infection are in the age group of 14-19 years.  Sri Lanka is classified as a low HIV prevalence country in the South Asian Region.   Cabinet approval was granted for the national policy on HIV/AIDS prepared to meet the requirements of implementing specially the Prevention and Awareness Programmes by the relevant government agencies and the International Labour Organization.","National Policy on HIV/AIDS and the World of Work

Press briefing of Cabinet Decision taken on 2010-",2010-12-08,2010-12-08-008-en,"National Policy on HIV/AIDS and the World of Work

Press briefing of Cabinet Decision taken on 2010-12-08

- Of the total population of Sri Lanka, approximately 8.5 million are in the labour force and around 100,000 young men and women work in the Free Trade Zone, Katunayake and about 180,000 persons migrate annually to the Middle East countries for employment.  Persons subjected to HIV Infection are in the age group of 14-19 years.  Sri Lanka is classified as a low HIV prevalence country in the South Asian Region.   Cabinet approval was granted for the national policy on HIV/AIDS prepared to meet the requirements of implementing specially the Prevention and Awareness Programmes by the relevant government agencies and the International Labour Organization.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-009-en,9,2010-12-08,Memorandum of Understanding (MOU) between the Government of India and the Government of Sri Lanka on Cooperation in the Field of Agriculture,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3785,en,Press briefing of Cabinet Decision taken on 2010-12-08,"-  Among other things, this MOU will provide expertise and information and facilities such as workshops and training sessions in agriculture, horticulture, fruit production and quality improvement etc.",2010-12-08-009-en-0000,0,en,b7852b14cf89d28d937d1dd2af7c596e,399,"Memorandum of Understanding (MOU) between the Government of India and the Government of Sri Lanka on Cooperation in the Field of Agriculture

Press briefing of Cabinet Decision taken on 2010-12-08

-  Among other things, this MOU will provide expertise and information and facilities such as workshops and training sessions in agriculture, horticulture, fruit production and quality improvement etc.","Memorandum of Understanding (MOU) between the Government of India and the Government of Sri Lanka on Cooperation in the Field of Agriculture

Press briefing of Cabinet Decision taken on 2010-12-08

-  Among other things, this MOU will provide expertise and information and facilities such as workshops and training sessions in agriculture, horticulture, fruit production and quality improvement etc.",Memorandum of Understanding (MOU) between the Government of India and the Government of Sri Lanka on,2010-12-08,2010-12-08-009-en,"Memorandum of Understanding (MOU) between the Government of India and the Government of Sri Lanka on Cooperation in the Field of Agriculture

Press briefing of Cabinet Decision taken on 2010-12-08

-  Among other things, this MOU will provide expertise and information and facilities such as workshops and training sessions in agriculture, horticulture, fruit production and quality improvement etc.",cabinet_decisions,0.95,1
lk_cabinet_decisions,2010-12-08-010-en,10,2010-12-08,Milling the Paddy Stocks purchased by the Paddy Marketing Board,https://www.cabinetoffice.gov.lk/cab/index.php?option=com_content&view=article&id=16&Itemid=49&lang=en&dID=3786,en,Press briefing of Cabinet Decision taken on 2010-12-08,"- Cabinet approval was granted to mill 70,000 MT of paddy purchased in the 2009/2010 Maha Season by the Paddy Marketing Board to be issued to Lak Sathosa retail outlets and Co-operative sales outlets throughout the Island in the December - January Festive Season.  A sum of Rs.430 million will be released by General Treasury for the purchase, from the special fund maintained in the General Treasury for the purchase of paddy.",2010-12-08-010-en-0000,0,en,a1f81f0686e00195e7856f2e125ccebe,548,"Milling the Paddy Stocks purchased by the Paddy Marketing Board

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval was granted to mill 70,000 MT of paddy purchased in the 2009/2010 Maha Season by the Paddy Marketing Board to be issued to Lak Sathosa retail outlets and Co-operative sales outlets throughout the Island in the December - January Festive Season.  A sum of Rs.430 million will be released by General Treasury for the purchase, from the special fund maintained in the General Treasury for the purchase of paddy.","Milling the Paddy Stocks purchased by the Paddy Marketing Board

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval was granted to mill 70,000 MT of paddy purchased in the 2009/2010 Maha Season by the Paddy Marketing Board to be issued to Lak Sathosa retail outlets and Co-operative sales outlets throughout the Island in the December - January Festive Season.  A sum of Rs.430 million will be released by General Treasury for the purchase, from the special fund maintained in the General Treasury for the purchase of paddy.","Milling the Paddy Stocks purchased by the Paddy Marketing Board

Press briefing of Cabinet Decision ",2010-12-08,2010-12-08-010-en,"Milling the Paddy Stocks purchased by the Paddy Marketing Board

Press briefing of Cabinet Decision taken on 2010-12-08

- Cabinet approval was granted to mill 70,000 MT of paddy purchased in the 2009/2010 Maha Season by the Paddy Marketing Board to be issued to Lak Sathosa retail outlets and Co-operative sales outlets throughout the Island in the December - January Festive Season.  A sum of Rs.430 million will be released by General Treasury for the purchase, from the special fund maintained in the General Treasury for the purchase of paddy.",cabinet_decisions,0.95,1
